Parameter	Chlorophyll_a	Basin	LARGE_basin
Chlorophyll_a	0,40	Bornholm_Hano	BalticProper
Chlorophyll_a	0,40	Bornholm_Hano	BalticProper
Chlorophyll_a	0,40	Bornholm_Hano	BalticProper
Chlorophyll_a	0,40	Bornholm_Hano	BalticProper
Chlorophyll_a	0,40	 Norra Gotlandshavet	BalticProper
Chlorophyll_a	0,40	 Norra Gotlandshavet	BalticProper
Chlorophyll_a	0,41	 Norra Gotlandshavet	BalticProper
Chlorophyll_a	0,41	 Norra Gotlandshavet	BalticProper
Chlorophyll_a	0,41	West Gotlandshavet	BalticProper
Chlorophyll_a	0,42	West Gotlandshavet	BalticProper
Chlorophyll_a	0,44	West Gotlandshavet	BalticProper
Chlorophyll_a	0,45	West Gotlandshavet	BalticProper
Chlorophyll_a	0,46	West Gotlandshavet	BalticProper
Chlorophyll_a	0,46	West Gotlandshavet	BalticProper
Chlorophyll_a	0,47	West Gotlandshavet	BalticProper
Chlorophyll_a	0,47	West Gotlandshavet	BalticProper
Chlorophyll_a	0,48	 Norra Gotlandshavet	BalticProper
